MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA,price_per_sqft,tax_price_ratio,HOA_category
21306357,3411450.0,85750,-110.813768,32.285162,3.21,15393.0,1995-01-01,4,6.0,6396.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5.0,"Carpet, Concrete",55.0,533.3724202626641,0.004512157586949831,Low
21528016,3250000.0,85718,-110.910593,32.33909,1.67,27802.84,1999-01-01,3,4.0,6842.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5.0,"Natural Stone, Wood, Other",422.0,475.00730780473543,0.00855472,High
21610478,2400000.0,85712,-110.883315,32.261069,2.1,19038.42,2001-01-01,9,8.0,12025.0,4.0,"Dishwasher, Garbage Disposal, Oven",6.0,"Carpet, Natural Stone, Wood, Other",0.0,199.58419958419958,0.007932674999999998,No HOA
21211741,2500000.0,85750,-110.861002,32.331603,1.07,21646.0,2011-01-01,6,8.0,8921.0,4.0,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",5.0,"Carpet, Natural Stone, Wood",220.0,280.237641520009,0.0086584,Medium
21812010,3250000.0,85750,-110.83795,32.327575,3.53,18936.11,2007-01-01,5,6.0,6480.0,3.0,"Dishwasher, Double Sink, Electric Range, Freezer, Garbage Disposal, Island, Pantry: Butler, Refrigerator, Appliance Color: Stainless, Countertops: CORIAN, Microwave: Built In, Oven: Built In",2.0,"Carpet, Concrete",141.67,501.5432098765432,0.005826495384615385,Medium
21131956,2050000.0,85718,-110.918294,32.341609,1.65,24353.0,2009-01-01,5,6.0,7230.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Natural Stone, Wood",357.0,283.54080221300137,0.011879512195121952,High
21625369,2200000.0,85658,-111.049837,32.483063,1.82,5198.58,2015-01-01,4,6.0,5826.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,Natural Stone,148.0,377.617576381737,0.002362990909090909,Medium
21225585,2600000.0,85739,-110.883252,32.507699,0.0,18044.0,2008-01-01,3,3.0,3095.0,0.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Natural Stone, Wood",0.0,840.064620355412,0.00694,No HOA
21700487,3000000.0,85750,-110.843588,32.327533,3.1,24040.26,2002-01-01,3,6.0,7756.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Prep Sink, Refrigerator, Appliance Color: Black, Countertops: Granite",3.0,"Carpet, Natural Stone",142.0,386.79731820526047,0.00801342,Medium
21300933,2500000.0,85718,-110.942458,32.350702,1.25,19565.2,2010-01-01,4,5.0,5338.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5.0,"Carpet, Natural Stone",173.0,468.3402023229674,0.007826080000000001,Medium
